,Date,Pred_10_OOT,Pred_50_OOT,Pred_90_OOT
0,2022-06-26,1629.999252173847,5360.588309491158,16536.83078042276
1,2022-06-27,1214.7556189306458,5018.431096804102,16520.324815033906
2,2022-06-28,594.095712017593,4271.82882147865,11375.919174589626
3,2022-06-29,1226.4460307356624,4587.793950273558,16446.85038910932
4,2022-06-30,608.9118488006145,4419.717981301761,15569.987827104149
5,2022-07-01,1226.4460307356624,4587.793950273558,16446.85038910932
6,2022-07-02,1152.0949956378852,4520.913148703745,16243.349182041231
7,2022-07-03,1144.5718800155153,5258.363901523003,15683.077130786238
8,2022-07-04,1144.5718800155153,4916.206688835947,15579.127183309334
9,2022-07-05,1144.5718800155153,4558.28143783758,15579.127183309334
10,2022-07-06,1148.2332060278075,4556.116256712228,15579.127183309334
11,2022-07-07,1144.5718800155153,4558.28143783758,15579.127183309334
12,2022-07-08,590.2339224075155,4307.0319294871315,11271.969227112722
13,2022-07-09,1143.4928206954285,5183.54707258986,15579.127183309334
14,2022-07-10,590.2339224075155,4454.921089310243,15034.05929186783
15,2022-07-11,3260.39245241495,7588.61491036713,16886.822295280843
16,2022-07-12,1143.4928206954285,4841.389859902806,15579.127183309334
17,2022-07-13,1143.4928206954285,4512.977121340416,15579.127183309334
18,2022-07-14,3116.345318560417,7500.042413827437,13529.90200572846
19,2022-07-15,3253.752691926086,6031.467327484227,16623.62148522644
20,2022-07-16,3266.619431120354,5869.644765547301,16635.896290926656
21,2022-07-17,3255.048828843052,6061.539198133211,16829.975857844758
22,2022-07-18,3260.39245241495,7196.448814694931,16886.822295280843
23,2022-07-19,3261.2758075484558,6057.761909449285,16635.896290926656
24,2022-07-20,3262.5588848105513,5869.644765547301,16623.62148522644
25,2022-07-21,3262.5588848105513,5482.780898088752,16623.62148522644
26,2022-07-22,3202.9203511270066,5357.380819709227,16623.62148522644
27,2022-07-23,3262.5588848105513,5589.306986226103,16623.62148522644
28,2022-07-24,1629.999252173847,4303.154490783164,16536.83078042276
29,2022-07-25,3125.1515114448835,7261.067706191999,17085.637697865233
